room_type,avg_price
Shared room in rental unit,8684.0
Room in hotel,5795.315789473684
Private room in home,5190.5
Private room in condo,4269.0
Entire condo,3721.625
Entire place,1735.6666666666667
Entire rental unit,1414.857142857143
Boat,1298.3333333333333
Shared room in guest suite,1203.0
Farm stay,846.5689655172414
Private room in castle,721.5
Private room in resort,679.0
Private room in bed and breakfast,673.8888888888889
Room in boutique hotel,655.9166666666666
Private room in villa,654.0909090909091
Entire villa,621.2954545454545
Private room in farm stay,613.0
Houseboat,603.3333333333334
Entire bungalow,594.2068965517242
Entire home,576.1020408163265
Room in heritage hotel,539.0
Private room in nature lodge,482.5
Camper/RV,481.0
Campsite,481.0
Entire home/apt,481.0
Private room in chalet,481.0
Entire vacation home,475.0
Treehouse,469.0
Hut,463.0
Room in resort,460.0
Private room in earthen home,460.0
Tent,459.0
Castle,451.0
Private room in cottage,421.0
Entire cottage,402.0
Entire serviced apartment,373.0
Entire chalet,365.2
Room in serviced apartment,328.3333333333333
Private room in bungalow,320.3333333333333
Entire cabin,135.0
